point#,speed score,accn score,jerk score,point score,distance weight
0,100,100,0,100.0,2.696662
1,100,0,0,100.0,3.0516989999999993
2,100,0,0,100.0,2.9802950000000017
3,100,100,0,100.0,3.244968
4,100,100,100,100.0,3.562398999999999
5,100,0,0,100.0,3.454613000000002
6,100,100,0,100.0,3.3350109999999944
7,100,0,0,100.0,3.7265000000000015
8,100,100,0,100.0,3.721395000000001
9,100,0,0,100.0,3.333333000000003
10,100,0,0,100.0,3.630353999999997
11,100,0,0,100.0,3.3589740000000035
12,100,0,0,100.0,3.4410859999999985
13,100,100,0,100.0,3.4645650000000003
14,100,100,100,100.0,3.408292000000003
