point#,speed score,accn score,jerk score,point score,distance weight
0,100,0,0,100.0,7.309608999999909
1,100,100,0,100.0,6.286608000000342
2,100,100,100,100.0,5.944236000001183
3,100,100,100,100.0,5.900014999999257
4,100,100,100,100.0,5.468399999999747
5,100,100,100,100.0,5.227296000000933
6,100,100,100,100.0,4.832531000000017
7,100,100,100,100.0,4.787931999999273
8,100,100,100,100.0,4.11170200000015
9,100,100,100,100.0,3.366534999999203
10,100,16.44234181115679,100,71.5903962157933,2.70249800000056
11,100,82.3351052825048,100,93.99393579605163,2.2638569999999163
12,100,2.6030182330301743,-44.88968000000004,19.071431799230247,1.6919319999997242
13,100,100,-195.17224000000004,2.5931607999999784,1.3287140000011277
14,100,100,100,100.0,1.1378449999992881
15,100,0,0,100.0,0.9881370000002789
16,100,0,0,100.0,0.9792259999994712
17,100,0,0,100.0,1.0384020000001328
18,100,100,0,100.0,1.167912000000797
19,100,100,100,100.0,1.525854999999865
20,100,100,100,100.0,1.8272170000000187
21,100,-31.150045618425516,52.45088000000001,39.71777488973533,2.203609999998662
22,100,0,0,100.0,2.474052000001393
23,100,0,0,100.0,2.5533249999989494
24,100,74.82323325285104,0,87.41161662642551,2.671607000000222
25,100,52.52629248083145,100,83.8589394434827,2.8122569999995903
26,100,44.09940033399088,100,80.9937961135569,3.2695010000006732
27,100,100,0,100.0,3.241183000000092
28,100,0,0,100.0,3.0820590000002994
29,100,100,0,100.0,3.686243000000104
30,100,0,0,100.0,3.479228999998668
31,100,0,0,100.0,3.4282970000003843
32,100,0,0,100.0,3.299114000001282
33,100,100,0,100.0,3.9226939999989554
34,100,0,0,100.0,3.8410839999996824
35,100,0,0,100.0,3.527040000000852
36,100,100,0,100.0,3.732049999998708
37,100,0,0,100.0,3.8673070000004373
38,100,0,0,100.0,3.9017770000009477
