point#,speed score,accn score,jerk score,point score,distance weight
0,100,100,100,100.0,6.034566000000268
1,100,100,100,100.0,5.781544000001304
2,100,100,100,100.0,5.781565999999657
3,100,100,100,100.0,5.243812999999136
4,100,100,100,100.0,5.056796000000759
5,100,100,100,100.0,4.844315999998798
6,100,100,100,100.0,4.589382000000114
7,100,100,100,100.0,4.367738000000827
8,100,100,100,100.0,4.210538999999699
9,100,70.1859903445916,100,89.86323671716114,4.222653999999238
10,100,100,100,100.0,4.024027000001297
11,100,100,100,100.0,3.8362639999995736
12,100,0,0,100.0,3.6373060000005353
13,100,100,0,100.0,3.959283999998661
14,100,0,0,100.0,3.553750000000946
15,100,0,0,100.0,3.5805419999996957
16,100,100,0,100.0,3.535905000000639
17,100,0,0,100.0,3.3877009999996517
18,100,0,0,100.0,4.095439999999144
19,100,100,0,100.0,3.425648000000365
20,100,0,0,100.0,3.3237110000009125
21,100,0,0,100.0,3.2712899999987712
22,100,100,0,100.0,3.1690050000015617
23,100,0,0,100.0,3.5060779999985243
24,100,29.33753128047689,0,64.66876564023845,3.356322999999975
25,100,100,0,100.0,3.749963000000207
26,100,0,0,100.0,4.162711000000854
27,100,0,0,100.0,3.405617999998867
28,100,0,0,100.0,3.240144000001237
29,100,0,0,100.0,3.376072999999451
30,100,0,0,100.0,3.2729199999994307
31,100,100,0,100.0,6.7603520000011486
32,100,100,0,100.0,3.7982539999993605
