point#,speed score,accn score,jerk score,point score,distance weight
0,100,100,100,100.0,8.891093000000183
1,100,100,-5.691520000000017,65.12179839999999,8.419434999999794
2,100,100,-5.649720000000014,65.1355924,8.13352599999962
3,100,100,51.19868000000001,83.89556440000001,7.203285999999935
4,100,100,100,100.0,6.2216390000012325
5,100,100,100,100.0,5.9640309999995225
6,100,100,100,100.0,5.284663999998884
7,100,100,100,100.0,4.944346000000223
8,100,100,100,100.0,4.40848300000107
9,100,65.46342334775458,-115.36336,17.187655138236558,3.9340809999994235
10,100,100,-113.41428000000002,29.573287599999993,3.3002180000003136
11,100,100,100,100.0,2.8782890000002226
12,100,100,100,100.0,2.2615659999992204
13,100,100,100,100.0,1.847514000000956
14,100,100,100,100.0,1.3988849999986996
15,100,100,100,100.0,1.0013840000010532
16,100,100,100,100.0,0.6565399999999499
17,100,100,97.99164000000002,99.33724120000001,0.6254069999995409
18,100,0,0,100.0,0.6383390000009967
19,100,0,0,100.0,0.48139699999956065
20,100,100,0,100.0,0.5428080000001501
21,100,0,0,100.0,0.0
22,100,0,0,100.0,0.0
23,100,0,0,100.0,0.0
24,100,0,0,100.0,0.0
25,100,0,0,100.0,0.0
26,100,0,0,100.0,0.0
27,100,0,0,100.0,0.0
28,100,100,0,100.0,0.6451879999985977
29,100,100,38.55932,79.7245756,1.2816530000000057
30,100,100,100,100.0,3.070110000000568
31,100,100,72.85172000000001,91.0410676,3.2169900000008056
32,100,100,48.52148000000002,83.01208840000001,3.2026549999991403
33,100,100,79.98668000000002,93.39560440000001,7.157054000001153
34,100,100,100,100.0,4.311180999999124
35,100,60.928760023189014,64.38195999999998,74.96182520788426,6.040682999999262
36,100,87.00329214027676,100,95.5811193276941,7.91103700000167
37,100,100,100,100.0,6.230870999999752
38,100,52.12145639093415,100,83.7212951729176,11.191369000000122
39,100,11.659577146328715,100,69.96425622975175,8.987270999999964
40,100,100,87.13164,95.7534412,9.85250399999859
41,100,100,100,100.0,12.158430999999837
42,100,79.81940205949873,100,93.13859670022957,10.116390000001047
