point#,speed score,accn score,jerk score,point score,distance weight
0,100,100,0,100.0,6.403339999999844
1,100,0,0,100.0,6.507488000000194
2,100,100,0,100.0,6.587166999999681
3,100,100,100,100.0,6.499489000000722
4,100,100,0,100.0,6.6215689999999086
5,100,100,100,100.0,6.678871999999501
6,100,100,0,100.0,6.639795000000049
7,100,100,0,100.0,6.944889999999759
8,100,0,0,100.0,6.647381000000678
9,100,0,0,100.0,6.909267
10,100,100,0,100.0,6.63842299999942
11,100,0,0,100.0,6.9361750000007305
12,100,0,0,100.0,6.990985999999793
13,100,0,0,100.0,6.8839459999999235
14,100,0,0,100.0,6.999200000000201
15,100,0,0,100.0,6.926136000000042
16,100,0,0,100.0,7.045532999999523
17,100,100,0,100.0,6.708924000000479
