point#,speed score,accn score,jerk score,point score,distance weight
0,100,0,0,100.0,2.659113000000005
1,100,0,0,100.0,2.788893999999999
2,100,100,0,100.0,2.5795339999999953
3,100,0,0,100.0,2.704820000000012
4,100,0,0,100.0,2.558928999999992
5,100,100,0,100.0,2.529485000000008
6,100,100,100,100.0,2.363562999999999
7,100,100,100,100.0,2.0748459999999938
8,100,100,100,100.0,1.7462579999999974
9,100,100,100,100.0,1.36543300000001
10,100,100,100,100.0,1.0019810000000007
11,100,100,100,100.0,0.6498149999999896
12,100,100,100,100.0,0.46564300000000003
13,100,0,0,100.0,0.4537520000000086
14,100,0,0,100.0,0.42390499999999065
15,100,0,0,100.0,0.4533800000000099
16,100,100,0,100.0,0.264694999999989
17,100,0,0,100.0,0.0
18,100,0,0,100.0,0.0
19,100,0,0,100.0,0.0
20,100,0,0,100.0,0.0
21,100,0,0,100.0,0.0
22,100,0,0,100.0,0.0
23,100,0,0,100.0,0.0
24,100,0,0,100.0,0.0
25,100,0,0,100.0,0.0
26,100,0,0,100.0,0.0
27,100,0,0,100.0,0.0
28,100,0,0,100.0,0.0
29,100,5.012096935106225,0,52.506048467553114,0.5504730000000109
30,100,100,0,100.0,0.8395709999999923
31,100,0,0,100.0,0.7165350000000075
32,100,100,0,100.0,0.674800999999988
33,100,100,100,100.0,0.5155330000000049
34,100,0,0,100.0,0.4403549999999967
35,100,0,0,100.0,0.46424500000000535
36,100,0,0,100.0,0.447180000000003
37,100,0,0,100.0,0.4369349999999912
38,100,100,0,100.0,0.409710000000004
39,100,0,0,100.0,0.0
40,100,0,0,100.0,0.0
41,100,0,0,100.0,0.0
42,100,79.86285915215248,0,89.93142957607624,0.23654100000000255
43,100,100,0,100.0,0.501267999999996
44,100,0,0,100.0,0.423285000000007
45,100,0,0,100.0,0.4370449999999977
46,100,0,0,100.0,0.4368300000000005
47,100,0,0,100.0,0.4232849999999928
48,100,0,0,100.0,0.44035900000000083
49,100,100,0,100.0,0.012042000000008102
50,100,0,0,100.0,0.0
51,100,0,0,100.0,0.0
52,100,0,0,100.0,0.0
53,100,39.5226267755613,0,69.76131338778065,0.29031100000000265
54,100,39.90179469037955,100,79.56661019472905,0.9641369999999938
55,100,62.351265134273824,100,87.19943014565311,1.5290860000000066
56,100,-14.556319412388952,100,61.05085139978776,2.2037349999999947
57,100,-76.37207235248862,100,40.03349540015387,2.7391140000000007
58,100,-37.44960165335978,100,53.267135437857675,3.298472000000004
59,100,-730.392641631078,-167.45900000000006,-270.5949681545666,3.935900999999987
60,94.34431323803605,-232.82181786415657,-158.26868000000002,-100.25445910526136,4.424410000000009
61,81.91423244251088,-485.0599507871756,100,-104.88868656161114,5.064204000000004
62,100,42.914592296649644,100,80.59096138086088,5.788673999999986
63,100,93.00661021092012,100,97.62224747171284,6.4959479999999985
64,100,3.4890906791754217,100,67.18629083091965,6.2876520000000085
