point#,speed score,accn score,jerk score,point score,distance weight
0,13.54878806712243,100,100,71.4711000621504,8.51421500000015
1,19.763828464885023,100,100,73.52206339341205,8.375011000000086
2,25.97886886264761,100,100,75.57302672467371,8.196788999999626
3,38.40894965817277,99.93222697652656,42.476079999999996,60.66901695921605,7.75018
4,44.62399005593536,100,34.63059999999999,60.15401471845867,7.942692000000534
5,50.83903045369795,100,100,83.77688004972032,7.681725999999799
6,60.161591050341826,100,100,86.85332504661281,6.570496999999705
7,69.48415164698571,100,100,89.92977004350529,6.547892000000502
8,78.80671224362959,100,100,93.00621504039776,5.889686999999867
9,88.12927284027346,100,100,96.08266003729024,5.214977999999974
10,97.45183343691734,100,100,99.15910503418272,4.963372000000163
11,100,83.99292470961686,-36.08112000000001,49.65082480126973,4.301719000000048
12,100,100,-27.13696000000003,58.04480319999999,3.7927139999992505
13,100,100,100,100.0,3.2751200000002427
14,100,100,100,100.0,2.9716859999998633
15,100,100,100,100.0,2.3843400000005204
16,100,100,100,100.0,1.7224539999997432
17,100,100,100,100.0,1.2658730000002834
18,100,93.16778916133444,100,97.6770483148537,0.6353319999998348
19,100,100,-28.263159999999978,57.673157200000006,0.43986599999971077
20,100,0,0,100.0,0.46083900000030553
21,100,0,0,100.0,0.4233699999995224
22,100,0,0,100.0,0.4436860000005254
23,100,100,0,100.0,0.24923500000022614
24,100,0,0,100.0,0.0
25,100,0,0,100.0,0.0
26,100,0,0,100.0,0.0
27,100,0,0,100.0,0.0
28,100,0,0,100.0,0.0
29,100,0,0,100.0,0.0
30,100,0,0,100.0,0.0
31,100,0,0,100.0,0.0
32,100,0,0,100.0,0.0
33,100,0,0,100.0,0.0
34,100,0,0,100.0,0.0
35,100,0,0,100.0,0.0
36,100,100,0,100.0,0.37206499999956577
37,100,-148.8149985306434,-187.39319999999998,-79.43685550041876,1.014965000000302
38,100,-17.3250074796681,-105.00028000000002,-7.540594943087157,1.6406959999994797
39,100,-66.50000986724697,100,43.38999664513602,2.237068000000363
40,100,-34.81650952918181,100,54.162386760078185,2.7837739999995392
41,100,-177.7894684203841,100,5.551580737069401,3.3294450000003053
42,100,-245.4811582328804,100,-17.46359379917935,4.109857999999804
43,97.45183343691734,-198.5438145450603,100,-2.3457919111377734,4.582597000000533
44,91.23679303915475,-101.1288784835534,100,28.724323018512912,4.831381999999394
45,81.91423244251088,-306.6621604304013,100,-44.23343784030786,5.45135400000072
46,72.59167184586698,-413.80662326529364,100,-83.73900020106375,5.711627999999109
47,72.59167184586698,0,0,72.59167184586698,5.738017000000582
48,100,-32.46556577429849,0,33.76721711285076,6.553984000000128
49,100,0,0,100.0,6.400522999999339
50,100,67.68883328300593,0,83.84441664150296,6.534664000000703
51,100,0,0,100.0,6.7973119999996925
52,100,0,0,100.0,6.575781000000461
53,100,63.72183187378455,0,81.86091593689227,7.154788999999255
