point#,speed score,accn score,jerk score,point score,distance weight
0,95.60029828486203,100,100,98.54809843400447,6.081646000000546
1,95.60029828486203,0,0,95.60029828486203,6.020139000000199
2,100,100,0,100.0,8.059800999999425
3,100,100,100,100.0,5.50913700000001
4,100,100,47.51803999999999,82.6809532,5.327497000000221
5,100,100,42.67616000000001,81.0831328,4.995345999999699
6,100,100,100,100.0,4.585673000000497
7,100,100,-41.17447999999997,53.41242160000001,4.079187000000275
8,100,100,100,100.0,3.4103919999997743
9,100,100,100,100.0,2.7513639999997395
10,100,19.043020623267704,100,72.47462701191102,1.9645019999998112
11,100,100,44.17007999999999,81.57612639999999,1.4166000000004715
12,100,100,100,100.0,0.9168339999996533
13,100,100,100,100.0,0.4488900000005742
14,100,0,0,100.0,0.4403549999997267
15,100,0,0,100.0,0.4440779999995357
16,100,0,0,100.0,0.4229650000006586
17,100,0,0,100.0,0.4369360000000597
18,100,100,0,100.0,0.20845599999938713
19,100,0,0,100.0,0.0
20,100,0,0,100.0,0.0
21,100,0,0,100.0,0.0
22,100,0,0,100.0,0.0
23,100,0,0,100.0,0.0
24,100,0,0,100.0,0.0
25,100,0,0,100.0,0.0
26,100,0,0,100.0,0.0
27,100,0,0,100.0,0.0
28,100,0,0,100.0,0.0
29,100,0,0,100.0,0.0
30,100,0,0,100.0,0.0
31,100,0,0,100.0,0.0
32,100,0,0,100.0,0.0
33,100,0,0,100.0,0.0
34,100,100,0,100.0,0.07919500000025437
35,100,100,100,100.0,0.49773300000015297
36,100,100,100,100.0,0.8118749999994179
37,100,79.54483507962577,100,93.04524392707276,1.2335200000006807
38,100,50.585593323562996,100,83.19910173001142,1.6276520000001256
39,100,97.05607430365444,100,98.99906526324251,2.12496099999953
40,100,80.57274485175135,100,93.39473324959546,2.3417609999996785
41,100,0,0,100.0,2.534048000000439
42,100,-97.52036971155161,0,1.2398151442241954,2.6579570000003514
43,100,47.648136076599265,29.28595999999999,58.86473306604375,3.222279999999955
44,100,26.150416269702713,100,74.89114153169892,3.462126999999782
45,100,-101.86011996662651,100,31.367559211346986,3.8582939999996597
46,100,-148.7105533507073,100,15.438411860759516,4.40986200000043
47,97.45183343691734,-59.40745129695315,100,44.960571593218646,4.767251999999644
48,97.45183343691734,0,0,97.45183343691734,4.7009509999998045
49,91.23679303915475,-85.90861135387178,0,2.6640908426414853,5.158942000000025
50,100,-1.6591907604306844,39.34731999999996,45.42049074145355,5.28719700000056
51,100,95.42698321768616,40.14232,78.6921398940133,5.809964999999465
52,100,0,0,100.0,6.111382000000049
