segment#,segment score,importance weight,distance weight, segment weight
0,82.23358229454547,2,17.859423,35.718846
1,100.0,1,51.81359499999999,51.81359499999999
2,91.8983940840599,2,79.14909499999999,158.29818999999998
3,89.09987269285146,1,1642.956042,1642.956042
4,91.18268394370673,2,404.4812840000002,808.9625680000004
5,95.13772206705057,1,1997.3391820000006,1997.3391820000006
6,93.50625991189169,2,175.99494299999998,351.98988599999996
7,99.26381629403463,1,125.50533799999998,125.50533799999998
8,93.22353965287039,2,174.88519200000002,349.77038400000004
9,90.22280121299637,1,26.663138,26.663138
10,44.752565279635604,2,117.85531099999997,235.71062199999994
11,82.17693308633756,1,63.715848,63.715848
12,76.95715923186818,2,71.555883,143.111766
13,85.6056544902386,1,26.89536,26.89536
14,92.8005711172892,2,121.46826699999998,242.93653399999997
15,99.97576702080609,1,45.977404,45.977404
16,87.37455231525341,2,247.636597,495.273194
17,97.07641447329735,1,1605.5859569999993,1605.5859569999993
18,97.19063203140618,2,246.4133449999999,492.8266899999998
19,98.29564203086906,1,1853.7560859999999,1853.7560859999999
20,89.3528559697238,2,245.22083400000002,490.44166800000005
21,91.70002973714517,1,350.14815400000003,350.14815400000003
22,44.39228327335851,2,255.30058100000005,510.6011620000001
23,94.26881230617381,1,245.28205100000005,245.28205100000005
24,93.18798898935546,2,235.64482099999998,471.28964199999996
25,78.86292419796159,2,166.039869,332.079738
26,96.69831979091448,1,352.78615499999995,352.78615499999995
27,96.44257494418959,2,122.26089900000001,244.52179800000002
28,97.79116052901536,1,300.787669,300.787669
29,95.11466115574592,2,135.127586,270.255172
30,94.89949332151244,1,322.615038,322.615038
31,84.50713989727831,2,127.94997800000003,255.89995600000006
32,99.99999999999999,1,57.537168,57.537168
33,42.884724556505944,2,79.091961,158.183922
34,98.72602747216872,1,553.5535649999998,553.5535649999998
35,95.7690655552374,2,54.701354999999985,109.40270999999997
