segment#,segment score,importance weight,distance weight, segment weight
0,85.86539286534143,2,16.660264,33.320528
1,98.23371912308434,1,51.97224699999999,51.97224699999999
2,82.29218678765342,2,79.35064400000002,158.70128800000003
3,91.21376613403034,1,1650.161487,1650.161487
4,91.60244594957445,2,396.48150899999996,792.9630179999999
5,89.64397511961026,1,1998.6910480000001,1998.6910480000001
6,92.54985470807034,2,179.1649040000002,358.3298080000004
7,91.2141180433948,1,120.87748599999941,120.87748599999941
8,96.35105926927727,2,171.75790300000062,343.51580600000125
9,96.00873292299917,1,34.80678199999966,34.80678199999966
10,77.74045713332794,2,118.67016200000035,237.3403240000007
11,99.90454086779947,1,58.46212699999978,58.46212699999978
12,91.30057649763091,2,69.71337099999982,139.42674199999965
13,100.0,1,31.45426800000041,31.45426800000041
14,93.3545000695433,2,121.26218100000006,242.5243620000001
15,100.0,1,50.471197999999276,50.471197999999276
16,91.66764318015817,2,245.39264900000035,490.7852980000007
17,96.67325001581833,1,1601.171397,1601.171397
18,95.6596900188028,2,249.26277000000027,498.52554000000055
19,96.93686042501858,1,1850.401504999999,1850.401504999999
20,58.00945212984257,2,247.78694800000085,495.5738960000017
21,83.03729653168988,1,346.23187700000017,346.23187700000017
22,93.17178229779223,2,252.3697549999997,504.7395099999994
23,99.82872899440599,1,257.05040200000076,257.05040200000076
24,95.9274200060863,2,229.85632599999917,459.71265199999834
25,97.44679611692086,2,169.76842399999987,339.53684799999974
26,99.40324568262885,1,347.44742100000076,347.44742100000076
27,93.45943044440206,2,127.76247499999954,255.52494999999908
28,99.51955532190411,1,295.6622790000001,295.6622790000001
29,93.69039180055388,2,137.25080399999933,274.50160799999867
30,97.64602150406104,1,317.25723300000027,317.25723300000027
31,90.96552893518411,2,132.61950500000057,265.23901000000114
32,100.0,1,57.38991799999894,57.38991799999894
33,89.45558572156459,2,82.45513000000028,164.91026000000056
34,98.41532352618047,1,549.6135400000003,549.6135400000003
35,99.16670391276686,2,46.375387000000046,92.75077400000009
