segment#,segment score,importance weight,distance weight, segment weight
0,90.12588712225265,2,19.352449,38.704898
1,100.0,1,50.410146000000005,50.410146000000005
2,96.85565731457541,2,78.399099,156.798198
3,95.52711968492855,1,1648.086135,1648.086135
4,87.09262803925799,2,402.27456200000006,804.5491240000001
5,94.54121790527243,1,1994.921132,1994.921132
6,94.42365722699888,2,178.6560410000002,357.3120820000004
7,97.92874726095691,1,125.62307299999975,125.62307299999975
8,89.25519901260222,2,167.253514,334.507028
9,86.25929203097347,1,29.01360300000033,29.01360300000033
10,81.78073999785524,2,124.19822000000022,248.39644000000044
11,97.58974390775433,1,57.48595899999964,57.48595899999964
12,86.25607027078946,2,72.54910500000005,145.0982100000001
13,100.0,1,28.748013999999785,28.748013999999785
14,97.434736547243,2,118.02090599999974,236.04181199999948
15,99.075480263539,1,48.74861300000066,48.74861300000066
16,91.22539906693035,2,251.03705300000001,502.07410600000003
17,94.8937039311809,1,1599.2835559999994,1599.2835559999994
18,97.43158080493288,2,253.90548900000067,507.81097800000134
19,96.92787878946028,1,1850.753577999999,1850.753577999999
20,79.96568629002779,2,247.5362350000014,495.0724700000028
21,93.87963086598718,1,347.86888799999906,347.86888799999906
22,90.90726193006597,2,254.54275899999993,509.08551799999987
23,96.6243332648581,1,249.0397069999999,249.0397069999999
24,95.98039884809545,2,232.11539699999958,464.23079399999915
25,91.35759783160769,2,163.47485600000073,326.94971200000145
26,99.18375572350826,1,352.4585019999995,352.4585019999995
27,95.10603650260217,2,128.8788880000011,257.7577760000022
28,99.8361366267564,1,295.6373029999995,295.6373029999995
29,97.10935429046232,2,136.1135149999991,272.2270299999982
30,98.68616875466343,1,317.15248600000086,317.15248600000086
31,99.58543830393798,2,132.98756499999945,265.9751299999989
32,100.0,1,59.17925500000092,59.17925500000092
33,95.45260537927301,2,80.17354899999918,160.34709799999837
34,99.74537161525416,1,552.1527290000013,552.1527290000013
35,99.75519832933708,2,56.469325000000026,112.93865000000005
