segment#,segment score,importance weight,distance weight, segment weight
0,92.63462856077585,2,18.614109,37.228218
1,99.99999999999999,1,47.778760000000005,47.778760000000005
2,95.53187793545929,2,82.26570399999999,164.53140799999997
3,90.87329712377037,1,1643.7611699999998,1643.7611699999998
4,90.34463289526784,2,406.15126599999985,812.3025319999997
5,88.7346780456958,1,1993.140978,1993.140978
6,91.94441156378156,2,182.7054560000006,365.4109120000012
7,97.30923430000061,1,122.35480999999982,122.35480999999982
8,98.08288851155058,2,171.51894699999957,343.03789399999914
9,93.60564614214901,1,25.366140000000087,25.366140000000087
10,83.82977815023087,2,126.24874900000032,252.49749800000063
11,97.8206984608351,1,59.46254200000021,59.46254200000021
12,92.93239802322466,2,62.2941179999998,124.5882359999996
13,100.0,1,36.513960999999654,36.513960999999654
14,97.09944183079665,2,117.72401200000058,235.44802400000117
15,100.0,1,49.88764099999935,49.88764099999935
16,96.15594238498947,2,240.03820900000028,480.07641800000056
17,97.19176417509243,1,1610.709406,1610.709406
18,95.8773070276689,2,245.25162199999977,490.50324399999954
19,97.29534081548586,1,1846.6889060000012,1846.6889060000012
20,96.19464256130391,2,108.50004799999988,217.00009599999976
