segment#,segment score,importance weight,distance weight, segment weight
0,85.7578534343235,2,19.658188,39.316376
1,100.00000000000001,1,49.658623999999996,49.658623999999996
2,92.59233462404089,2,79.474279,158.948558
3,93.25035037623013,1,1644.8123699999999,1644.8123699999999
4,88.24712496576696,2,403.0641370000001,806.1282740000001
5,88.38789782635774,1,1995.368399,1995.368399
6,87.45839423483231,2,181.83317499999976,363.6663499999995
7,92.36924763499857,1,119.0924500000001,119.0924500000001
8,95.99464814677036,2,175.81879600000048,351.63759200000095
9,91.05174340985407,1,27.257986999999957,27.257986999999957
10,60.79485464771653,2,119.60511299999962,239.21022599999924
11,96.8452603741287,1,60.03638000000046,60.03638000000046
12,93.91904959619625,2,71.59350399999948,143.18700799999897
13,98.01536684035614,1,30.674858999999742,30.674858999999742
14,92.03202678718415,2,118.21675200000027,236.43350400000054
15,100.0,1,49.302466000000095,49.302466000000095
16,95.79368026824295,2,248.1449190000003,496.2898380000006
17,87.59118771311155,1,1600.0279719999999,1600.0279719999999
18,95.83529358407984,2,254.41466800000035,508.8293360000007
19,95.7381464546686,1,1846.375602,1846.375602
20,86.91587071999771,2,242.1024469999993,484.2048939999986
21,96.74196486572592,1,362.6337199999998,362.6337199999998
22,91.27389597947823,2,243.79381600000124,487.5876320000025
23,95.94683406423424,1,250.9277689999999,250.9277689999999
24,96.09878762605973,2,227.98638599999867,455.97277199999735
25,88.6349278691121,2,170.0760480000008,340.1520960000016
26,97.96150497786452,1,353.19922699999915,353.19922699999915
27,88.8502904947101,2,126.27999100000125,252.5599820000025
28,99.5736486744996,1,303.2457319999994,303.2457319999994
29,94.4140228824889,2,134.3844399999998,268.7688799999996
30,96.10784377687513,1,319.15808500000094,319.15808500000094
31,86.77978035015933,2,126.35934799999995,252.7186959999999
32,98.52495787068644,1,64.76588699999957,64.76588699999957
33,87.29507199607194,2,79.26233599999978,158.52467199999955
34,99.83787281888551,1,549.1666089999999,549.1666089999999
35,99.67765018423557,2,42.70282199999929,85.40564399999857
