point#,speed score,accn score,jerk score,point score,distance weight
0,100,0,0,100.0,5.583954000000631
1,100,100,0,100.0,6.064296999999897
2,100,100,100,100.0,7.353084999999737
3,100,100,100,100.0,5.727268999999978
4,100,100,100,100.0,5.4890260000001945
5,100,100,73.80883999999999,91.3569172,4.498631999999816
6,100,100,50.136520000000004,83.5450516,4.4392879999995785
7,100,100,100,100.0,4.02191700000003
8,100,100,100,100.0,3.562991000000693
9,100,100,100,100.0,3.313705999999911
10,100,98.74846882217197,100,99.57447939953848,2.904128000000128
11,100,100,100,100.0,2.722729999999501
12,100,100,100,100.0,2.5433270000003176
13,100,100,100,100.0,1.9889400000001842
14,100,100,100,100.0,1.8430889999999636
15,100,96.77952934592672,42.75675999999999,80.01477077761508,1.5533999999997832
16,100,100,100,100.0,1.3966510000000198
17,100,100,100,100.0,1.0855670000000828
18,100,100,100,100.0,0.910439000000224
19,100,100,100,100.0,0.4815579999994952
20,100,0,0,100.0,0.4401420000003782
21,100,0,0,100.0,0.4746850000001359
22,100,0,0,100.0,0.43673499999931664
23,100,0,0,100.0,0.4232830000000831
24,100,100,0,100.0,0.3311180000000604
25,100,0,0,100.0,0.0
26,100,0,0,100.0,0.0
27,100,0,0,100.0,0.0
28,100,0,0,100.0,0.0
29,100,0,0,100.0,0.0
30,100,0,0,100.0,0.0
31,100,0,0,100.0,0.0
32,100,0,0,100.0,0.0
33,100,0,0,100.0,0.0
34,100,0,0,100.0,0.0
35,100,0,0,100.0,0.0
36,100,0,0,100.0,0.0
37,100,0,0,100.0,0.0
38,100,0,0,100.0,0.0
39,100,0,0,100.0,0.0
40,100,0,0,100.0,0.0
41,100,0,0,100.0,0.0
42,100,0,0,100.0,0.0
43,100,0,0,100.0,0.0
44,100,0,0,100.0,0.0
45,100,0,0,100.0,0.0
46,100,0,0,100.0,0.0
47,100,0,0,100.0,0.0
48,100,0,0,100.0,0.0
49,100,0,0,100.0,0.0
50,100,0,0,100.0,0.0
51,100,0,0,100.0,0.0
52,100,0,0,100.0,0.0
53,100,0,0,100.0,0.0
54,100,0,0,100.0,0.0
55,100,0,0,100.0,0.0
56,100,100,0,100.0,0.143195999999989
57,100,100,100,100.0,0.6398349999999482
58,100,100,100,100.0,0.9956160000001546
59,100,100,100,100.0,1.3138170000001992
60,100,100,100,100.0,1.5807049999993978
61,100,100,100,100.0,1.9969490000003134
62,100,-19.60669202766001,77.08048,51.7702831105956,2.5942180000001827
63,100,65.21324725420526,78.24328000000001,80.99278646642979,2.6888010000002396
64,100,0,0,100.0,2.7998349999998027
65,100,71.6401800937092,0,85.8200900468546,3.566240000000107
66,100,48.73325166346502,100,82.5693055655781,3.742409999999836
67,100,11.100139482983318,100,69.77404742421433,3.6399789999995846
68,100,-196.19249466544574,89.01872,-4.329270586251557,4.682135000000017
69,100,0,0,100.0,4.295333000000028
70,100,100,0,100.0,4.386408000000301
71,100,0,0,100.0,4.514925000000403
72,100,0,0,100.0,4.55365299999994
