point#,speed score,accn score,jerk score,point score,distance weight
0,100,100,0,100.0,2.8253260000000004
1,100,100,0,100.0,2.9283859999999997
2,100,100,100,100.0,3.039607
3,100,100,100,100.0,3.4920310000000008
4,100,100,100,100.0,3.657221
5,100,0,0,100.0,3.928739
6,100,0,0,100.0,3.8094309999999965
7,100,100,0,100.0,4.008671000000007
8,100,0,0,100.0,4.091633999999999
9,100,100,0,100.0,4.0931639999999945
10,100,0,0,100.0,3.951717000000002
11,100,0,0,100.0,4.013038999999999
12,100,100,0,100.0,3.9397940000000062
