point#,speed score,accn score,jerk score,point score,distance weight
0,100,0,0,100.0,15.218163000000459
1,100,0,0,100.0,7.194232999999258
2,100,100,0,100.0,33.33498200000031
3,100,100,0,100.0,13.391010000000279
4,100,100,0,100.0,21.632410000000164
5,100,0,0,100.0,7.459719999999834
6,100,100,0,100.0,7.39089199999944
7,100,0,0,100.0,7.4026190000004135
8,100,93.74369115926693,0,96.87184557963346,7.3326179999994565
9,100,84.11477959208086,100,94.5990250613075,7.529149000000871
10,100,100,0,100.0,8.301925999999185
11,100,100,0,100.0,11.656177000000753
12,100,100,0,100.0,7.84866299999976
13,100,100,0,100.0,10.024392000000262
14,100,100,0,100.0,35.58279799999946
15,100,79.78422554432113,0,89.89211277216057,7.616912000000411
16,100,100,0,100.0,12.123431999999411
17,100,100,100,100.0,8.18273600000066
18,100,0,0,100.0,7.396060000000034
19,100,86.14195769493213,0,93.07097884746607,8.086795999999595
20,100,100,0,100.0,10.155539999999746
21,100,0,0,100.0,10.071117000000413
22,100,100,0,100.0,10.094383999999991
23,100,0,0,100.0,9.526112999999896
24,100,100,0,100.0,11.036205000000336
25,100,100,0,100.0,19.72023099999933
26,100,100,100,100.0,7.942793000000165
27,100,0,0,100.0,7.573554999999942
28,100,90.2689039141493,0,95.13445195707465,8.282627000000502
29,100,100,0,100.0,7.966083999999682
30,100,0,0,100.0,7.484809000000496
31,100,0,0,100.0,7.833310999999412
32,100,0,0,100.0,7.598226000000068
33,100,0,0,100.0,7.900134999999864
34,100,0,0,100.0,7.960484000000179
35,100,0,0,100.0,7.719274000000041
36,100,74.28294174444798,0,87.14147087222399,7.632539999999608
37,100,0,0,100.0,8.325960000000123
38,100,0,0,100.0,8.008136999999806
39,100,0,0,100.0,7.948495000000548
40,100,100,0,100.0,7.645751999999447
41,100,66.4878684579908,0,83.2439342289954,7.738579000000755
42,100,100,0,100.0,7.819861999999375
43,100,0,0,100.0,7.701300000000629
44,100,100,0,100.0,7.671856999999363
45,100,0,0,100.0,7.740780000000086
46,100,0,0,100.0,8.540848000000551
47,100,0,0,100.0,7.930021999999553
48,100,0,0,100.0,7.619069000000309
49,100,0,0,100.0,7.554073000000244
50,100,100,0,100.0,7.5215629999993325
51,100,0,0,100.0,7.60055199999988
52,100,100,0,100.0,8.002478000000337
53,100,83.91665171361925,0,91.95832585680962,7.360848999999689
54,100,100,0,100.0,7.505254000000605
55,100,100,100,100.0,7.530938999999307
56,100,0,0,100.0,7.37355000000025
57,100,84.05747951432502,0,92.02873975716251,7.445952000000034
58,100,100,0,100.0,7.7512320000005275
59,100,100,100,100.0,7.461514999999963
60,100,0,0,100.0,7.195590999999695
61,100,100,0,100.0,8.687456999999995
62,100,0,0,100.0,7.869419999999991
63,100,0,0,100.0,8.108070000000225
64,100,0,0,100.0,9.350164999999834
65,100,79.90540289063959,0,89.9527014453198,7.7046369999998205
66,100,100,100,100.0,8.069094999999834
67,100,0,0,100.0,7.696896000000379
68,100,0,0,100.0,7.944827000000259
69,100,0,0,100.0,7.7601660000000265
70,97.01704545454545,-6.5724240017329905,0,45.222310726406235,8.169108000000051
71,97.01704545454545,0,0,97.01704545454545,8.44750699999986
72,98.79261363636364,100,0,99.39630681818181,8.232966999999917
73,95.24147727272727,50.89790398918189,0,73.06969063095458,8.165390000000116
74,97.01704545454545,100,0,98.50852272727272,8.286588999999367
75,97.01704545454545,0,0,97.01704545454545,8.447250000000167
76,95.24147727272727,100,0,97.62073863636363,8.984738000000107
77,95.24147727272727,0,0,95.24147727272727,8.323655000000144
78,97.01704545454545,100,0,98.50852272727272,8.297716999999466
79,97.01704545454545,0,0,97.01704545454545,8.513529000000744
80,93.4659090909091,47.24384043801342,0,70.35487476446126,8.365520999999717
81,95.24147727272727,100,0,97.62073863636363,8.669877999999699
82,95.24147727272727,0,0,95.24147727272727,8.458811999999853
83,95.24147727272727,0,0,95.24147727272727,8.5931070000006
84,95.24147727272727,0,0,95.24147727272727,8.593054999999367
85,95.24147727272727,0,0,95.24147727272727,8.797277000000577
86,95.24147727272727,0,0,95.24147727272727,8.258670999999595
87,95.24147727272727,0,0,95.24147727272727,8.52201100000002
88,95.24147727272727,0,0,95.24147727272727,8.261343000000124
89,91.6903409090909,43.27854290603863,0,67.48444190756477,8.612890999999763
90,91.6903409090909,0,0,91.6903409090909,8.958089000000655
91,93.4659090909091,100,0,96.73295454545455,8.665028999999777
92,93.4659090909091,0,0,93.4659090909091,8.533930999999939
93,93.4659090909091,0,0,93.4659090909091,8.602202000000034
94,93.4659090909091,0,0,93.4659090909091,8.815166000000318
95,93.4659090909091,0,0,93.4659090909091,9.004083999999239
96,95.24147727272727,100,0,97.62073863636363,8.98432000000048
97,95.24147727272727,0,0,95.24147727272727,8.660154000000148
98,95.24147727272727,0,0,95.24147727272727,8.324470999999903
99,97.01704545454545,100,0,98.50852272727272,8.798227999999654
100,97.01704545454545,0,0,97.01704545454545,8.513270999999804
101,93.4659090909091,48.45639421196728,0,70.96115165143819,8.516806999999972
102,95.24147727272727,100,0,97.62073863636363,8.965914000000339
103,97.01704545454545,100,100,99.015625,8.728008000000045
104,98.79261363636364,100,100,99.6015625,8.172397999999703
105,95.24147727272727,54.527157989632656,0,74.88431763117995,8.226919000000635
106,97.01704545454545,100,0,98.50852272727272,8.216859000000113
107,98.79261363636364,100,100,99.6015625,8.204107999999906
108,100,100,100,100.0,8.05443699999978
109,100,0,0,100.0,7.9049910000003365
110,100,0,0,100.0,8.025543999999172
111,100,0,0,100.0,8.729079000000638
112,100,0,0,100.0,7.8414929999999
113,100,100,0,100.0,8.475620000000163
114,100,0,0,100.0,8.500250000000051
115,98.79261363636364,100,0,99.39630681818181,12.774617000000035
116,97.01704545454545,100,100,99.015625,8.475808999999572
117,98.79261363636364,100,0,99.39630681818181,8.291715999999724
118,95.24147727272727,50.8954999624371,0,73.06848861758218,8.024226000000453
119,97.01704545454545,100,0,98.50852272727272,8.945142999999916
120,97.01704545454545,0,0,97.01704545454545,8.7114389999997
121,97.01704545454545,0,0,97.01704545454545,8.521599000000606
122,97.01704545454545,0,0,97.01704545454545,9.363325999999688
123,95.24147727272727,100,0,97.62073863636363,8.78269900000032
124,95.24147727272727,0,0,95.24147727272727,8.324623999999858
125,97.01704545454545,100,0,98.50852272727272,8.423882000000049
126,97.01704545454545,0,0,97.01704545454545,9.041377999999895
127,97.01704545454545,0,0,97.01704545454545,8.20510000000013
128,97.01704545454545,0,0,97.01704545454545,8.425995999999941
129,97.01704545454545,0,0,97.01704545454545,8.645400999999765
130,97.01704545454545,0,0,97.01704545454545,8.315507999999681
131,97.01704545454545,0,0,97.01704545454545,8.315316000000166
132,97.01704545454545,0,0,97.01704545454545,8.183700999999928
133,98.79261363636364,100,0,99.39630681818181,8.765333000000282
134,98.79261363636364,0,0,98.79261363636364,7.993695000000116
135,98.79261363636364,0,0,98.79261363636364,7.961381000000074
136,98.79261363636364,0,0,98.79261363636364,8.10718899999938
137,98.79261363636364,0,0,98.79261363636364,7.980188000000453
138,98.79261363636364,0,0,98.79261363636364,8.234284000000116
139,98.79261363636364,0,0,98.79261363636364,8.885506999999961
140,98.79261363636364,0,0,98.79261363636364,8.561338999999862
141,98.79261363636364,0,0,98.79261363636364,8.30187500000011
142,100,100,0,100.0,7.848065000000133
143,100,0,0,100.0,7.961252000000059
144,100,0,0,100.0,8.1598699999995
145,100,100,0,100.0,8.05074599999989
146,100,0,0,100.0,8.071451000000707
147,98.79261363636364,66.46864365580949,0,82.63062864608656,8.090396999999939
148,100,100,0,100.0,8.011994999999843
149,100,0,0,100.0,8.283844999999928
150,100,100,0,100.0,8.121172000000115
151,100,0,0,100.0,7.8163399999994
152,100,0,0,100.0,7.688329000000522
153,100,0,0,100.0,7.824587999999494
154,100,100,0,100.0,8.217250000000604
155,100,72.52192366820402,0,86.260961834102,7.975305999999364
156,100,0,0,100.0,7.901256000000103
157,100,100,0,100.0,7.757786000000124
158,100,0,0,100.0,8.010537000000113
159,98.79261363636364,62.185255920550084,0,80.48893477845687,7.895854000000327
160,98.79261363636364,0,0,98.79261363636364,8.430362999999488
161,98.79261363636364,0,0,98.79261363636364,8.252223000000413
162,98.79261363636364,0,0,98.79261363636364,8.027023999999983
163,98.79261363636364,0,0,98.79261363636364,8.378243000000111
164,100,100,0,100.0,8.118967999999768
165,100,0,0,100.0,8.156165000000328
166,100,0,0,100.0,8.093057000000044
167,100,100,0,100.0,7.8221539999995
168,100,0,0,100.0,7.947791999999936
169,100,0,0,100.0,7.885318999999981
170,100,0,0,100.0,9.519952000000558
171,100,0,0,100.0,8.754055999999764
172,100,0,0,100.0,11.077094999999645
173,100,100,0,100.0,7.768299000000297
174,100,70.6529977942651,0,85.32649889713255,7.770916999999827
175,100,100,0,100.0,7.973527000000104
176,100,100,100,100.0,7.709566999999879
177,100,0,0,100.0,7.779870000000301
178,100,100,0,100.0,7.655267000000094
179,100,100,100,100.0,8.080249999999978
180,100,0,0,100.0,7.132152999999562
181,100,0,0,100.0,7.2538580000000366
182,100,100,0,100.0,7.077780999999959
183,100,100,100,100.0,6.986750000000029
