point#,speed score,accn score,jerk score,point score,distance weight
0,100,100,0,100.0,8.1241100000002
1,100,0,0,100.0,7.88198999999986
2,100,100,0,100.0,8.527050000000145
3,100,100,0,100.0,8.109061999999994
4,100,100,0,100.0,8.613820999999916
5,100,100,0,100.0,8.4261690000003
6,100,0,0,100.0,8.843164999999772
7,100,0,0,100.0,8.31955199999993
8,100,100,0,100.0,8.179262000000108
9,100,100,0,100.0,8.762037999999848
10,100,100,0,100.0,8.14945200000011
11,100,100,100,100.0,8.777897999999823
12,100,0,0,100.0,7.982249000000138
13,100,100,0,100.0,8.004053000000113
14,100,0,0,100.0,7.965020999999979
15,100,0,0,100.0,8.602250999999796
16,100,0,0,100.0,8.097056000000066
17,100,0,0,100.0,8.087768000000324
18,100,0,0,100.0,7.8418689999998605
19,100,0,0,100.0,8.283128999999917
20,100,100,0,100.0,8.407007000000249
21,100,100,100,100.0,8.92811299999994
22,100,100,100,100.0,8.503707999999733
23,100,100,0,100.0,8.788794000000053
24,100,0,0,100.0,8.676146000000244
25,100,100,0,100.0,8.705821999999898
26,100,0,0,100.0,8.81966999999986
27,100,100,0,100.0,9.111721000000216
28,100,0,0,100.0,9.484132000000045
29,100,100,0,100.0,10.869829999999638
30,100,0,0,100.0,11.05429600000025
31,100,100,0,100.0,11.136707999999999
32,100,0,0,100.0,10.0365240000001
33,100,0,0,100.0,9.95578899999964
34,100,90.16082200372625,0,95.08041100186313,10.06650400000035
35,100,0,0,100.0,10.466253999999935
36,100,0,0,100.0,10.715042999999696
37,100,100,0,100.0,10.473680000000058
38,100,100,100,100.0,11.822497999999996
39,100,0,0,100.0,11.126948999999968
40,100,0,0,100.0,10.864293999999973
41,100,100,0,100.0,11.341699000000062
42,100,100,100,100.0,11.944813000000067
43,100,97.81389431961216,100,99.25672406866813,11.98053200000004
44,100,0,0,100.0,12.182554999999866
45,100,0,0,100.0,11.618459000000257
46,100,87.4854405574103,0,93.74272027870515,12.157276999999794
47,100,-155.56735936940163,-41.93284000000001,-33.73073938559656,12.313122999999905
48,100,0,0,100.0,12.801003000000037
49,100,50.85736628088817,0,75.4286831404441,13.183007000000089
50,100,0,0,100.0,13.399694000000181
51,100,0,0,100.0,13.504321999999775
52,100,37.001111016152436,0,68.50055550807622,13.5698339999999
53,100,21.652234898073964,100,73.36175986534515,13.86112200000025
54,100,-2.9534145592302163,100,64.99583904986173,13.663523000000168
55,100,0,0,100.0,14.149239999999736
56,100,0,0,100.0,13.82259699999986
57,100,-221.73359499570867,0,-60.866797497854336,16.181285000000116
58,100,0,0,100.0,14.988814000000275
59,100,2.8514599517811656,0,51.42572997589058,19.450500999999804
60,100,92.1122258225326,0,96.0561129112663,16.65927499999998
61,100,0,0,100.0,15.00160700000015
62,100,-77.49241523942707,0,11.253792380286463,14.46405999999979
63,100,78.0073739001115,0,89.00368695005575,14.784341999999924
64,100,0,0,100.0,15.029151000000184
65,100,0,0,100.0,14.910221000000092
66,100,0,0,100.0,14.910800999999992
67,100,0,0,100.0,15.501690999999937
68,100,81.15540877367916,0,90.57770438683957,15.04359199999999
69,100,0,0,100.0,15.355699000000186
70,100,-77.53659559594577,0,11.231702202027115,14.684998999999607
71,100,0,0,100.0,15.053673000000344
72,100,0,0,100.0,15.173375999999735
73,100,0,0,100.0,15.188744999999926
74,100,0,0,100.0,15.99442100000033
75,100,0,0,100.0,14.69526999999971
76,100,0,0,100.0,14.702654000000166
77,100,0,0,100.0,15.408841999999822
78,100,0,0,100.0,15.050175000000309
79,100,0,0,100.0,14.814945999999964
80,100,79.09251456190354,0,89.54625728095178,14.94344699999965
81,100,0,0,100.0,14.778722000000016
82,100,0,0,100.0,15.028951000000234
83,100,77.35001246261237,0,88.67500623130618,14.643672000000151
84,100,0,0,100.0,14.411963000000014
85,100,-73.0539671443554,0,13.473016427822301,14.767987999999605
86,100,77.01660676663771,0,88.50830338331886,14.625735000000077
87,100,0,0,100.0,14.917178000000149
88,100,80.16768444666023,0,90.08384222333012,14.925005000000056
89,100,78.93272841051319,100,92.83712765957449,14.682252000000062
90,100,-44.231114385213274,0,27.884442807393363,15.70021399999996
91,100,14.748247809762304,0,57.37412390488115,19.358698999999888
92,100,-55.45425930886718,0,22.27287034556641,14.924020999999811
93,100,78.3050224327021,0,89.15251121635106,14.71042800000032
94,100,77.8408635794744,100,92.4658936170213,14.566604000000098
95,100,0,0,100.0,14.738769999999931
96,100,0,0,100.0,14.505959999999959
97,100,0,0,100.0,14.271695999999793
98,100,79.42067277519776,0,89.71033638759889,14.61140400000022
99,100,0,0,100.0,14.70324299999993
100,100,81.0567567567567,0,90.52837837837835,14.78963799999974
101,100,79.37496856927343,100,92.98748931355297,14.423342000000048
102,100,0,0,100.0,14.089895999999953
103,100,-24.049492757872358,0,37.97525362106382,14.549988000000212
104,100,78.13362664990568,0,89.06681332495285,14.381124
105,100,76.33876037213993,100,91.95517852652758,14.017961000000014
106,100,81.09863134103469,100,93.57353465595179,14.406942000000072
107,100,0,0,100.0,14.050398999999743
108,100,76.03018159048226,0,88.01509079524112,13.744701000000077
109,100,0,0,100.0,13.659110999999939
110,100,0,0,100.0,14.672275000000354
111,100,80.1224897093675,0,90.06124485468375,13.96804099999963
112,100,3.1818879901708397,0,51.59094399508542,13.999477000000297
113,100,80.57407639323742,0,90.28703819661871,14.190663999999742
114,100,78.23749532243973,100,92.60074840962952,13.706615000000056
