193,19:37:29.980806,12.316925,12.316925,0.057774,18,1222,16,0,0,16.260234,0.152539,16.260234
194,19:37:30.028305,12.364424,12.364424,0.047499,18,1225,16,0,0,16.400497,0.140263,16.400497
195,19:37:30.118816,12.454935,12.454935,0.090511,18,1227,16,0,0,16.589214,0.188717,16.589214
196,19:37:30.157946,12.494065,12.494065,0.039130,18,1230,16,0,0,16.748740,0.159526,16.748740
197,19:37:30.212752,12.548871,12.548871,0.054806,18,1231,16,0,0,16.912369,0.163629,16.912369
198,19:37:30.271000,12.607119,12.607119,0.058248,18,1234,16,0,0,17.074440,0.162071,17.074440
199,19:37:30.315790,12.651909,12.651909,0.044790,18,1234,16,0,0,17.203418,0.128978,17.203418
200,19:37:30.355216,12.691335,12.691335,0.039426,18,1236,16,41.997826652,-93.633153634,17.307075,0.103657,17.307075
201,19:37:30.384270,12.720389,12.720389,0.029054,18,1236,16,0,0,17.388841,0.081766,17.388841
202,19:37:30.437685,12.773804,12.773804,0.053415,18,1235,14,0,0,17.535405,0.146564,17.535405
203,19:37:30.478935,12.815054,12.815054,0.041250,18,1235,14,0,0,17.616830,0.081424,17.616830
204,19:37:30.564429,12.900548,12.900548,0.085494,18,1235,14,0,0,17.770426,0.153596,17.770426
205,19:37:30.631874,12.967993,12.967993,0.067445,18,1231,14,0,0,17.994425,0.223999,17.994425
206,19:37:30.714340,13.050459,13.050459,0.082466,18,1230,14,0,0,18.156230,0.161805,18.156230
207,19:37:30.754978,13.091097,13.091097,0.040638,18,1228,14,0,0,18.319080,0.162851,18.319080
208,19:37:30.790655,13.126774,13.126774,0.035677,18,1213,14,0,0,18.421464,0.102384,18.421464
209,19:37:30.856424,13.192543,13.192543,0.065769,18,1198,14,0,0,18.583709,0.162245,18.583709
210,19:37:30.932670,13.268789,13.268789,0.076246,18,1178,14,0,0,18.746528,0.162819,18.746528
211,19:37:30.992093,13.328212,13.328212,0.059423,18,1154,14,0,0,18.889010,0.142483,18.889010
212,19:37:31.033923,13.370042,13.370042,0.041830,18,1130,14,0,0,18.990778,0.101768,18.990778
213,19:37:31.110155,13.446274,13.446274,0.076232,18,1112,14,0,0,19.194329,0.203550,19.194329
214,19:37:31.148463,13.484582,13.484582,0.038308,18,1091,14,0,0,19.296286,0.101957,19.296286
215,19:37:31.227723,13.563842,13.563842,0.079260,18,1070,14,0,0,19.499975,0.203690,19.499975
216,19:37:31.325834,13.661953,13.661953,0.098111,18,1052,14,0,0,19.652948,0.152972,19.652948
217,19:37:31.382307,13.718426,13.718426,0.056473,18,1017,14,41.997847247,-93.633182152,19.855865,0.202917,19.855865
218,19:37:31.465443,13.801562,13.801562,0.083136,18,985,12,0,0,20.054741,0.198876,20.054741
219,19:37:31.517942,13.854061,13.854061,0.052499,18,968,12,0,0,20.168161,0.113420,20.168161
220,19:37:31.585050,13.921169,13.921169,0.067108,18,947,12,0,0,20.264135,0.095974,20.264135
221,19:37:31.667093,14.003212,14.003212,0.082043,18,920,12,0,0,20.482616,0.218481,20.482616
222,19:37:31.734938,14.071057,14.071057,0.067845,18,908,12,0,0,20.604362,0.121747,20.604362
223,19:37:31.774667,14.110786,14.110786,0.039729,18,892,12,0,0,20.717727,0.113364,20.717727
224,19:37:31.847351,14.183470,14.183470,0.072684,18,871,10,0,0,20.861886,0.144159,20.861886
225,19:37:31.905493,14.241612,14.241612,0.058142,18,854,10,0,0,20.941827,0.079941,20.941827
226,19:37:32.011765,14.347884,14.347884,0.106272,18,828,10,0,0,21.065533,0.123707,21.065533
227,19:37:32.084043,14.420162,14.420162,0.072278,18,796,10,0,0,21.261918,0.196384,21.261918
228,19:37:32.129806,14.465925,14.465925,0.045763,18,774,10,0,0,21.356200,0.094282,21.356200
229,19:37:32.189354,14.525473,14.525473,0.059548,18,766,10,0,0,21.472524,0.116324,21.472524
230,19:37:32.242222,14.578341,14.578341,0.052868,18,758,10,0,0,21.546046,0.073522,21.546046
