point#,speed score,accn score,jerk score,point score,distance weight
0,100,0,0,100.0,9.753999
1,100,-89.27837990840513,0,5.360810045797436,9.869454
2,99.18519541499793,-231.7215800467262,100,-13.054222728937589,11.436213
3,96.42314597431294,-151.84122791670583,100,13.193620679843285,10.392791
4,96.42314597431294,0,0,96.42314597431294,11.106605
5,90.89904709294296,-497.5102073193322,0,-203.30558011319462,12.445767
6,90.89904709294296,0,0,90.89904709294296,11.053219
7,90.89904709294296,0,0,90.89904709294296,11.326164
8,88.13699765225797,-220.37815095829026,0,-66.12057665301614,11.435199
9,88.13699765225797,0,0,88.13699765225797,11.797761
10,85.37494821157298,-163.43384210007645,0,-39.02944694425173,14.608624
11,86.75597293191548,100,0,93.37798646595775,12.053663
12,86.75597293191548,0,0,86.75597293191548,11.85556
13,88.13699765225797,100,0,94.06849882612899,11.629602
14,85.37494821157298,-242.93303556412798,0,-78.7790436762775,11.876743
15,86.75597293191548,100,0,93.37798646595775,11.848485
16,88.13699765225797,100,100,96.08520922524514,11.510611
17,88.13699765225797,0,0,88.13699765225797,14.115377
18,89.51802237260047,100,0,94.75901118630023,11.415853
19,89.51802237260047,0,0,89.51802237260047,11.361424
20,90.89904709294296,100,0,95.44952354647148,11.277034
21,92.28007181328546,100,100,97.4524236983842,11.130433
