point#,speed score,accn score,jerk score,point score,distance weight
0,100,100,100,100.0,10.434079
1,100,0,0,100.0,9.984631
2,100,100,0,100.0,9.161324
3,100,100,100,100.0,8.737793
4,100,0,0,100.0,8.677314
5,100,100,0,100.0,8.632403
6,100,100,100,100.0,8.364582
7,100,100,100,100.0,8.379955
8,100,0,0,100.0,8.233205
9,100,100,0,100.0,8.115829
10,100,100,100,100.0,7.679157
11,100,100,100,100.0,7.259568
12,100,100,100,100.0,6.931974
13,100,100,100,100.0,6.469707
14,100,100,100,100.0,6.259854
15,100,100,100,100.0,5.279118
16,100,57.08348255200053,-119.11364,13.100882867680177,5.231381
17,100,100,-88.80156,37.6954852,5.528541
18,100,100,88.33192000000001,96.14953360000001,5.140505
19,100,100,100,100.0,1.726876
20,100,100,100,100.0,2.258243
21,100,0,0,100.0,0.614461
22,100,0,0,100.0,0.457402
23,100,100,0,100.0,0.603061
24,100,100,90.95179999999999,97.014094,2.400668
25,100,96.35464981809349,100,98.76058093815179,2.740736
26,100,100,90.1882,96.762106,2.632468
27,100,100,100,100.0,2.988956
28,100,100,100,100.0,3.26887
29,100,100,100,100.0,3.645261
30,100,100,100,100.0,4.085309
31,100,83.91668527688097,100,94.53167299413953,4.348955
32,100,100,100,100.0,4.581996
33,100,8.61947748479558,43.836200000000005,50.3965683448305,4.917908
34,100,96.73908197172561,43.79367999999999,80.34320227038671,5.202176
35,100,92.1052222544028,100,97.31577556649695,5.642589
36,100,0,0,100.0,5.738259
37,100,86.31968167753115,0,93.15984083876558,6.068256
38,100,74.45111322955707,100,91.3133784980494,6.191626
39,100,67.62983114543897,100,88.99414258944925,6.586339
40,100,59.55930664976747,100,86.25016426092094,6.96234
41,100,53.3590759904714,100,84.14208583676027,7.481146
