point#,speed score,accn score,jerk score,point score,distance weight
0,92.28007181328546,0,0,92.28007181328546,11.715274
1,92.28007181328546,0,0,92.28007181328546,11.183141
2,93.66109653362795,100,0,96.83054826681398,10.945477
3,93.66109653362795,0,0,93.66109653362795,11.214875
4,96.42314597431294,84.29457794208258,0,90.35886195819776,11.203257
5,97.80417069465544,100,100,99.2753763292363,10.397248
6,99.18519541499793,100,100,99.73111448694932,10.578785
7,100,100,100,100.0,10.495501
8,100,0,0,100.0,11.961379
9,97.80417069465544,-90.00434066756478,0,3.899915013545332,10.411139
10,99.18519541499793,100,0,99.59259770749897,10.554967
11,100,100,100,100.0,12.357957
12,100,100,100,100.0,10.21184
13,100,0,0,100.0,10.421536
14,100,100,0,100.0,10.620866
15,100,100,100,100.0,9.85999
16,100,0,0,100.0,9.81588
17,100,0,0,100.0,9.812225
18,100,100,0,100.0,15.255873
19,100,0,0,100.0,11.060331
20,100,100,0,100.0,10.265648
21,100,100,100,100.0,14.938862
