point#,speed score,accn score,jerk score,point score,distance weight
0,83.17176236639324,0,0,83.17176236639324,6.791671
1,85.657469550087,100,0,92.8287347750435,6.529074
2,88.14317673378075,100,100,96.08724832214764,6.435124
3,83.17176236639324,71.63333787684209,0,77.40255012161767,6.809237
4,57.05407085146052,73.6024554303746,0,65.32826314091756,6.750104
5,63.26911124922312,-34.65358820955724,100,42.09658672099417,6.473326
6,63.26911124922312,0,0,63.26911124922312,6.558688
7,90.62888391747451,0,0,90.62888391747451,6.367473
8,93.11459110116827,100,0,96.55729555058414,6.325499
9,93.11459110116827,0,0,93.11459110116827,6.210835
10,85.657469550087,8.169196411338476,0,46.91333298071274,6.304852
