point#,speed score,accn score,jerk score,point score,distance weight
0,100,0,0,100.0,7.137861
1,100,100,0,100.0,7.065539
2,100,100,66.4712,88.935496,7.665845
3,100,100,100,100.0,6.73702
4,100,100,100,100.0,6.607822
5,100,100,100,100.0,5.838274
6,100,100,100,100.0,5.67987
7,91.23679303915475,-58.35153019492072,100,43.26862143664802,5.13354
8,94.34431323803605,100,43.134280000000004,79.3679357685519,4.916225
9,100,43.43417987936243,100,80.76762115898323,4.545644
10,100,0,0,100.0,4.65847
11,100,56.85557196927701,0,78.4277859846385,4.414802
12,100,0,0,100.0,4.405524
13,100,100,0,100.0,4.329913
14,100,100,100,100.0,4.106073
15,100,100,100,100.0,3.867505
16,100,0,0,100.0,3.840652
17,100,0,0,100.0,3.928224
18,100,0,0,100.0,3.901723
19,100,100,0,100.0,3.787876
20,100,0,0,100.0,3.668455
21,100,0,0,100.0,3.757211
22,100,100,0,100.0,3.670868
23,100,0,0,100.0,4.014188
24,100,0,0,100.0,4.842709
25,100,100,0,100.0,4.207824
26,100,100,0,100.0,4.207179
27,100,0,0,100.0,4.19075
