point#,speed score,accn score,jerk score,point score,distance weight
0,100,0,0,100.0,9.735211
1,100,100,0,100.0,10.161136
2,100,0,0,100.0,9.928206
3,100,100,0,100.0,11.323107
4,100,0,0,100.0,9.668397
5,100,0,0,100.0,16.23866
6,100,0,0,100.0,9.845407
7,100,0,0,100.0,9.594513
8,100,0,0,100.0,10.294362
9,100,0,0,100.0,9.75585
10,100,-22.003841229192943,0,38.99807938540353,9.993497
11,100,100,0,100.0,10.153305
12,100,100,100,100.0,9.729286
13,100,0,0,100.0,10.368215
14,100,0,0,100.0,9.987017
15,100,0,0,100.0,9.605682
16,100,0,0,100.0,9.610309
17,100,100,0,100.0,10.481903
18,100,-13.359640359640345,0,43.32017982017983,9.794748
19,100,100,0,100.0,9.611897
20,100,0,0,100.0,9.605606
21,100,100,0,100.0,9.947709
22,100,0,0,100.0,9.692228
23,100,100,0,100.0,9.471468
24,100,0,0,100.0,9.615234
25,100,100,0,100.0,9.067378
26,100,100,100,100.0,8.883154
27,100,100,100,100.0,9.178867
28,100,100,100,100.0,8.544443
29,100,100,100,100.0,8.648306
30,100,100,100,100.0,8.396848
31,100,100,100,100.0,7.947539
32,100,100,100,100.0,7.841926
33,100,100,100,100.0,7.879986
34,100,0,0,100.0,7.477813
35,100,100,0,100.0,7.394916
36,100,100,100,100.0,7.312026
