point#,speed score,accn score,jerk score,point score,distance weight
0,100,-46.70128442704284,0,26.64935778647858,10.423762999998871
1,100,100,0,100.0,10.16624800000136
2,100,100,100,100.0,9.395442999999432
3,100,-55.97726560732479,0,22.011367196337606,10.157580000000962
4,100,100,0,100.0,9.880600999998933
5,100,0,0,100.0,9.681891000000178
6,100,0,0,100.0,9.534134999999878
7,100,64.84003592927098,0,82.42001796463549,9.469301000000996
8,100,100,0,100.0,9.504587999999785
9,100,100,100,100.0,9.650603999998566
10,100,0,0,100.0,9.38965300000018
11,100,100,0,100.0,9.62554900000032
12,100,100,100,100.0,9.254156999999395
13,100,100,100,100.0,9.526436000000103
14,100,100,100,100.0,8.933845000001384
15,100,100,100,100.0,8.70817100000022
16,100,100,100,100.0,8.621385999998893
17,100,0,0,100.0,8.397551000000021
18,100,100,0,100.0,8.589728999999352
19,100,0,0,100.0,8.525696000000607
20,100,100,0,100.0,8.356982000001153
21,100,100,100,100.0,8.401809999999386
22,100,0,0,100.0,8.62313499999982
23,100,100,0,100.0,7.896645000000717
24,100,100,100,100.0,7.995641999999862
25,100,100,100,100.0,7.897440999999162
26,100,0,0,100.0,7.682401000000027
27,100,100,0,100.0,8.079372000000149
